date,title,link
2020-03-31,Matplotlib Axes (1),https://jehyunlee.github.io/2020/03/31/Python-DS-9-matplotlib_axis/
2020-03-28,Fast.ai의 fit_one_cyclefit_one_cycle 방법론 이해,https://jehyunlee.github.io/2020/03/28/Python-DS-8-1cycle-learning-rate-policy/
2020-03-25,Pearson correlation between XX and XnXn,https://jehyunlee.github.io/2020/03/25/Python-DS-7-pearson_correlation/
2020-03-20,Plateau Detection,https://jehyunlee.github.io/2020/03/20/Python-DS-6-plateau_detection/
2020-03-13,Matplotlib Colormap (2),https://jehyunlee.github.io/2020/03/13/Python-DS-5-matplotlib_colormap2/
2020-03-01,Matplotlib Colormap (1),https://jehyunlee.github.io/2020/03/01/Python-DS-4-matplotlib_colormap/
2020-02-16,Matplotlib Colors,https://jehyunlee.github.io/2020/02/16/Python-DS-3-matplotlib_color/
2020-02-13,Matplotlib Defaults & Fonts,https://jehyunlee.github.io/2020/02/13/Python-DS-2-matplotlib_defaults_and_fonts/
2020-02-03,Pandas 1.0,https://jehyunlee.github.io/2020/02/03/Python-DS-1-pandas1/
2020-07-08,Visualizing Science; How Color Determines What we see,https://jehyunlee.github.io/2020/07/08/Python-DS-19-vs_color/
2020-07-02,Connecting Points in Paraview,https://jehyunlee.github.io/2020/07/02/Python-DS-18-pv_bond/
2020-06-30,Words Co-occurence in Academic Literatures,https://jehyunlee.github.io/2020/06/30/Python-DS-17-papermining/
2020-06-15,Citation Network on Scopus Data,https://jehyunlee.github.io/2020/06/15/Python-DS-16-VOSviewer/
2020-05-24,Bresenham's Line Algorithm,https://jehyunlee.github.io/2020/05/24/Python-DS-15-Bresenham/
2020-05-22,10 TensorFlow Tricks Every ML Practioner Must Know,https://jehyunlee.github.io/2020/05/22/Python-DS-14-10_TF_skills/
2020-05-11,Stratified Sampling,https://jehyunlee.github.io/2020/05/11/Python-DS-13-stratified_sampling/
2020-04-30,Automated Focusing,https://jehyunlee.github.io/2020/04/30/Python-DS-12-auto_focus/
2020-04-24,Data Cleansing Functions,https://jehyunlee.github.io/2020/04/24/Python-DS-11-data_cln_fn/
2020-04-21,Matplotlib-Tools,https://jehyunlee.github.io/2020/04/21/Python-DS-10-matplotlib_Tools/
2020-09-01,Python Visualization for Me,https://jehyunlee.github.io/2020/09/01/Python-DS-29-dld_pyvis/
2020-08-27,Spines & Grids,https://jehyunlee.github.io/2020/08/27/Python-DS-28-mpl_spines_grids/
2020-08-26,Focusing on a Certain Data,https://jehyunlee.github.io/2020/08/26/Python-DS-27-mpl_focus/
2020-08-11,Matplotlib Colormap Customization (3),https://jehyunlee.github.io/2020/08/11/Python-DS-26-custom_colormap_code2/
2020-08-10,Matplotlib Colormap Customization (2),https://jehyunlee.github.io/2020/08/10/Python-DS-25-custom_colormap_code/
2020-08-06,Matplotlib Colormap Customization (1),https://jehyunlee.github.io/2020/08/06/Python-DS-24-custom_colormap/
2020-08-03,How The Rainbow Color Map Misleads,https://jehyunlee.github.io/2020/08/03/Python-DS-23-rainbow_mislead/
2020-07-26,Paraview looks like VESTA,https://jehyunlee.github.io/2020/07/26/Python-DS-22-pv_vesta/
2020-07-21,PCA; Dimension Reduction + αα,https://jehyunlee.github.io/2020/07/21/Python-DS-21-PCA/
2020-07-14,Envelope for Least Square Filtering and Smoothing,https://jehyunlee.github.io/2020/07/14/Python-DS-20-envelope/
2020-10-15,Random Generation Fitting to a Histogram,https://jehyunlee.github.io/2020/10/15/Python-DS-39-randgen_dist/
2020-10-11,데이터 과학자,https://jehyunlee.github.io/2020/10/11/Python-DS-38-xstem_2020/
2020-10-10,Seaborn with Matplotlib (4),https://jehyunlee.github.io/2020/10/10/Python-DS-37-seaborn_matplotlib4/
2020-10-06,Seaborn with Matplotlib (3),https://jehyunlee.github.io/2020/10/06/Python-DS-36-seaborn_matplotlib3/
2020-10-03,Seaborn with Matplotlib (2),https://jehyunlee.github.io/2020/10/03/Python-DS-35-seaborn_matplotlib2/
2020-09-30,Seaborn with Matplotlib (1),https://jehyunlee.github.io/2020/09/30/Python-DS-34-seaborn_matplotlib/
2020-09-16,Seaborn Distribution Plot,https://jehyunlee.github.io/2020/09/16/Python-DS-32-seaborn_displot/
2020-09-09,Seaborn 0.11 Quick Review,https://jehyunlee.github.io/2020/09/09/Python-DS-31-seaborn_upgrade/
2020-09-07,Ridgeline Plot,https://jehyunlee.github.io/2020/09/07/Python-DS-30-mpl_dists/
2020-09-03,Big Data in Reality,https://jehyunlee.github.io/2020/09/03/Python-DS-33-aifestival_bigdatareality/
2020-11-01,Visualization of Uncertainty,https://jehyunlee.github.io/2020/11/01/Python-DS-42-ci/
2020-11-01,Visualization of Uncertainty,https://jehyunlee.github.io/2020/11/01/Python-DS-43-df_dt/
2020-10-27,4 Ways to Make Subplots,https://jehyunlee.github.io/2020/10/27/Python-DS-41-subplots/
2020-10-25,Google Trend Visualization,https://jehyunlee.github.io/2020/10/25/Python-DS-40-googletrend/
2020-11-17,Plot on Image,https://jehyunlee.github.io/2020/11/17/Python-DS-43-toomany/
2021-01-06,matplotlib plot(),https://jehyunlee.github.io/2021/01/06/Python-DS-53-mpl_plot/
2020-12-29,데이터와 무관합니다만; 수능 말고 인생,https://jehyunlee.github.io/2020/12/29/Python-DS-52-youth/
2020-12-28,"cmocean, colormaps for oceanography",https://jehyunlee.github.io/2020/12/28/Python-DS-51-cmocean/
2020-12-24,수능 Trend Visualization (3),https://jehyunlee.github.io/2020/12/24/Python-DS-50-suneung3/
2020-12-21,수능 Trend Visualization (2),https://jehyunlee.github.io/2020/12/21/Python-DS-49-suneung2/
2020-12-17,수능 Trend Visualization (1),https://jehyunlee.github.io/2020/12/17/Python-DS-48-suneung/
2020-12-12,이세계에서 시작하는 데분러 생활,https://jehyunlee.github.io/2020/12/12/Python-DS-47-debun/
2020-12-03,Visualization of Image Exceeding Limitation,https://jehyunlee.github.io/2020/12/03/Python-DS-46-bnvis/
2020-11-26,Tight Layout,https://jehyunlee.github.io/2020/11/26/Python-DS-45-tightlayout/
2020-11-24,Watermark on Image,https://jehyunlee.github.io/2020/11/24/Python-DS-44-watermark/
2021-01-15,Picking and Modifying Colors,https://jehyunlee.github.io/2021/01/15/Python-DS-55-colors/
2021-01-13,PCA of X features with Y,https://jehyunlee.github.io/2021/01/13/Python-DS-54-pcaxy/
2021-02-04,Matplotlib plot colors,https://jehyunlee.github.io/2021/02/04/Python-DS-60-mpl_colors/
2021-01-28,Plot with Variable Class,https://jehyunlee.github.io/2021/01/28/Python-DS-59-plot_class/
2021-01-24,Income from Two Companies (2),https://jehyunlee.github.io/2021/01/24/Python-DS-58-income2/
2021-01-21,Income from Two Companies (1),https://jehyunlee.github.io/2021/01/21/Python-DS-57-income/
2021-01-19,matplotlib fonts,https://jehyunlee.github.io/2021/01/19/Python-DS-56-mpl_font/
2021-03-04,색의 속성에 대한 단어들,https://jehyunlee.github.io/2021/03/04/Python-DS-63-mpl_colors_qualitative/
2021-02-24,머신러닝 모델링의 흔한 실수들,https://jehyunlee.github.io/2021/02/24/Python-DS-62-mistakes/
2021-02-11,Density Plot with Colormap,https://jehyunlee.github.io/2021/02/11/Python-DS-61-mpl_colormapkde/
